name_state,DTNASC,metrica,valor
Espírito Santo,2001,Mínimo,9.6
Espírito Santo,2001,25 percentil,34.625
Espírito Santo,2001,Mediana,44.1
Espírito Santo,2001,75 percentil,57.9
Espírito Santo,2001,Máximo,98.7
Goiás,2001,Mínimo,2.8
Goiás,2001,25 percentil,33.325
Goiás,2001,Mediana,53.35
Goiás,2001,75 percentil,64.85
Goiás,2001,Máximo,90.4
Maranhão,2001,Mínimo,0
Maranhão,2001,25 percentil,4.1
Maranhão,2001,Mediana,10.8
Maranhão,2001,75 percentil,22.025
Maranhão,2001,Máximo,93.3
Mato Grosso,2001,Mínimo,1.6
Mato Grosso,2001,25 percentil,29.7
Mato Grosso,2001,Mediana,41.3
Mato Grosso,2001,75 percentil,64.25
Mato Grosso,2001,Máximo,99.3
Mato Grosso do Sul,2001,Mínimo,0.9
Mato Grosso do Sul,2001,25 percentil,28.2
Mato Grosso do Sul,2001,Mediana,44.65
Mato Grosso do Sul,2001,75 percentil,59.625
Mato Grosso do Sul,2001,Máximo,96.2
Minas Gerais,2001,Mínimo,0.4
Minas Gerais,2001,25 percentil,22.725
Minas Gerais,2001,Mediana,40.1
Minas Gerais,2001,75 percentil,63.55
Minas Gerais,2001,Máximo,99.6
Paraná,2001,Mínimo,0
Paraná,2001,25 percentil,35.075
Paraná,2001,Mediana,59.7
Paraná,2001,75 percentil,79.425
Paraná,2001,Máximo,100
Paraíba,2001,Mínimo,0.4
Paraíba,2001,25 percentil,11.7
Paraíba,2001,Mediana,25.8
Paraíba,2001,75 percentil,54.6
Paraíba,2001,Máximo,95.2
Pará,2001,Mínimo,0
Pará,2001,25 percentil,5.4
Pará,2001,Mediana,10.55
Pará,2001,75 percentil,21.625
Pará,2001,Máximo,66.9
Pernambuco,2001,Mínimo,0
Pernambuco,2001,25 percentil,10.95
Pernambuco,2001,Mediana,20.8
Pernambuco,2001,75 percentil,34.9
Pernambuco,2001,Máximo,92.4
Piauí,2001,Mínimo,0
Piauí,2001,25 percentil,5.5
Piauí,2001,Mediana,11.6
Piauí,2001,75 percentil,27.1
Piauí,2001,Máximo,51.9
Rio Grande do Norte,2001,Mínimo,1.1
Rio Grande do Norte,2001,25 percentil,9.95
Rio Grande do Norte,2001,Mediana,18.3
Rio Grande do Norte,2001,75 percentil,36.6
Rio Grande do Norte,2001,Máximo,69.9
Rio Grande do Sul,2001,Mínimo,0.9
Rio Grande do Sul,2001,25 percentil,39.475
Rio Grande do Sul,2001,Mediana,51.45
Rio Grande do Sul,2001,75 percentil,66.025
Rio Grande do Sul,2001,Máximo,95.5
Rio de Janeiro,2001,Mínimo,0.9
Rio de Janeiro,2001,25 percentil,41.325
Rio de Janeiro,2001,Mediana,58.9
Rio de Janeiro,2001,75 percentil,73.025
Rio de Janeiro,2001,Máximo,99.2
Rondônia,2001,Mínimo,3.4
Rondônia,2001,25 percentil,20.125
Rondônia,2001,Mediana,23.7
Rondônia,2001,75 percentil,33.425
Rondônia,2001,Máximo,85.5
Roraima,2001,Mínimo,0.6
Roraima,2001,25 percentil,8.225
Roraima,2001,Mediana,10.25
Roraima,2001,75 percentil,12.95
Roraima,2001,Máximo,45.5
Santa Catarina,2001,Mínimo,0.4
Santa Catarina,2001,25 percentil,28.9
Santa Catarina,2001,Mediana,45.9
Santa Catarina,2001,75 percentil,59.6
Santa Catarina,2001,Máximo,93.8
Sergipe,2001,Mínimo,0
Sergipe,2001,25 percentil,1.8
Sergipe,2001,Mediana,17.65
Sergipe,2001,75 percentil,26.875
Sergipe,2001,Máximo,85.2
São Paulo,2001,Mínimo,0.3
São Paulo,2001,25 percentil,52.225
São Paulo,2001,Mediana,68.1
São Paulo,2001,75 percentil,81.15
São Paulo,2001,Máximo,100
Tocantins,2001,Mínimo,0
Tocantins,2001,25 percentil,13.9
Tocantins,2001,Mediana,22.65
Tocantins,2001,75 percentil,36.55
Tocantins,2001,Máximo,94.1
Acre,2002,Mínimo,1.5
Acre,2002,25 percentil,2.6
Acre,2002,Mediana,9.5
Acre,2002,75 percentil,15.2
Acre,2002,Máximo,30.9
Alagoas,2002,Mínimo,1.9
Alagoas,2002,25 percentil,12.4
Alagoas,2002,Mediana,24.6
Alagoas,2002,75 percentil,42.55
Alagoas,2002,Máximo,98.2
Amapá,2002,Mínimo,3.3
Amapá,2002,25 percentil,4.45
Amapá,2002,Mediana,12.1
Amapá,2002,75 percentil,17.425
Amapá,2002,Máximo,32.1
Amazonas,2002,Mínimo,0
Amazonas,2002,25 percentil,5.7
Amazonas,2002,Mediana,11.3
Amazonas,2002,75 percentil,18.5
Amazonas,2002,Máximo,62.4
Bahia,2002,Mínimo,0
Bahia,2002,25 percentil,9.9
Bahia,2002,Mediana,20.3
Bahia,2002,75 percentil,31.25
Bahia,2002,Máximo,90.7
Ceará,2002,Mínimo,0
Ceará,2002,25 percentil,14.175
Ceará,2002,Mediana,27.1
Ceará,2002,75 percentil,38.6
Ceará,2002,Máximo,84.3
Distrito Federal,2002,Mínimo,48.8
Distrito Federal,2002,25 percentil,48.8
Distrito Federal,2002,Mediana,48.8
Distrito Federal,2002,75 percentil,48.8
Distrito Federal,2002,Máximo,48.8
Espírito Santo,2002,Mínimo,8
Espírito Santo,2002,25 percentil,37.3
Espírito Santo,2002,Mediana,48.6
Espírito Santo,2002,75 percentil,61.9
Espírito Santo,2002,Máximo,98.9
Goiás,2002,Mínimo,9.2
Goiás,2002,25 percentil,35.025
Goiás,2002,Mediana,53.6
Goiás,2002,75 percentil,66.1
Goiás,2002,Máximo,93.5
Maranhão,2002,Mínimo,0
Maranhão,2002,25 percentil,5.9
Maranhão,2002,Mediana,12.2
Maranhão,2002,75 percentil,20.75
Maranhão,2002,Máximo,94
Mato Grosso,2002,Mínimo,0
Mato Grosso,2002,25 percentil,29.9
Mato Grosso,2002,Mediana,43.2
Mato Grosso,2002,75 percentil,66.5
Mato Grosso,2002,Máximo,97.7
Mato Grosso do Sul,2002,Mínimo,0.7
Mato Grosso do Sul,2002,25 percentil,28.3
Mato Grosso do Sul,2002,Mediana,46.15
Mato Grosso do Sul,2002,75 percentil,63.4
Mato Grosso do Sul,2002,Máximo,88.5
Minas Gerais,2002,Mínimo,0
Minas Gerais,2002,25 percentil,27.55
Minas Gerais,2002,Mediana,45.4
Minas Gerais,2002,75 percentil,64.85
Minas Gerais,2002,Máximo,100
Paraná,2002,Mínimo,0.4
Paraná,2002,25 percentil,43.1
Paraná,2002,Mediana,64.6
Paraná,2002,75 percentil,82.25
Paraná,2002,Máximo,99.3
Paraíba,2002,Mínimo,0
Paraíba,2002,25 percentil,16.325
Paraíba,2002,Mediana,30.6
Paraíba,2002,75 percentil,50
Paraíba,2002,Máximo,98
Pará,2002,Mínimo,0
Pará,2002,25 percentil,5.475
Pará,2002,Mediana,11.7
Pará,2002,75 percentil,23.35
Pará,2002,Máximo,88.6
Pernambuco,2002,Mínimo,0.5
Pernambuco,2002,25 percentil,13.3
Pernambuco,2002,Mediana,25.5
Pernambuco,2002,75 percentil,40.6
Pernambuco,2002,Máximo,97
Piauí,2002,Mínimo,0
Piauí,2002,25 percentil,7.85
Piauí,2002,Mediana,16.75
Piauí,2002,75 percentil,27.375
Piauí,2002,Máximo,59.4
Rio Grande do Norte,2002,Mínimo,0
Rio Grande do Norte,2002,25 percentil,14.65
Rio Grande do Norte,2002,Mediana,21.45
Rio Grande do Norte,2002,75 percentil,35.975
Rio Grande do Norte,2002,Máximo,76.8
Rio Grande do Sul,2002,Mínimo,7.7
Rio Grande do Sul,2002,25 percentil,40.5
Rio Grande do Sul,2002,Mediana,57.2
Rio Grande do Sul,2002,75 percentil,69.95
Rio Grande do Sul,2002,Máximo,99.4
Rio de Janeiro,2002,Mínimo,2
Rio de Janeiro,2002,25 percentil,45.25
Rio de Janeiro,2002,Mediana,59.1
Rio de Janeiro,2002,75 percentil,70.65
Rio de Janeiro,2002,Máximo,98.4
Rondônia,2002,Mínimo,2.2
Rondônia,2002,25 percentil,19.9
Rondônia,2002,Mediana,25
Rondônia,2002,75 percentil,32.2
Rondônia,2002,Máximo,62
Roraima,2002,Mínimo,10
Roraima,2002,25 percentil,10.5
Roraima,2002,Mediana,12.4
Roraima,2002,75 percentil,20.3
Roraima,2002,Máximo,35.2
Santa Catarina,2002,Mínimo,8
Santa Catarina,2002,25 percentil,34.1
Santa Catarina,2002,Mediana,52.3
Santa Catarina,2002,75 percentil,67.3
Santa Catarina,2002,Máximo,94.4
Sergipe,2002,Mínimo,0
Sergipe,2002,25 percentil,10.65
Sergipe,2002,Mediana,17.9
Sergipe,2002,75 percentil,38.15
Sergipe,2002,Máximo,82.7
São Paulo,2002,Mínimo,3
São Paulo,2002,25 percentil,57.7
São Paulo,2002,Mediana,71.1
São Paulo,2002,75 percentil,83.7
São Paulo,2002,Máximo,100
Tocantins,2002,Mínimo,2.4
Tocantins,2002,25 percentil,15.725
Tocantins,2002,Mediana,26
Tocantins,2002,75 percentil,38.075
Tocantins,2002,Máximo,89
Acre,2003,Mínimo,0.9
Acre,2003,25 percentil,4.7
Acre,2003,Mediana,9.1
Acre,2003,75 percentil,15.8
Acre,2003,Máximo,33.4
Alagoas,2003,Mínimo,0
Alagoas,2003,25 percentil,12
Alagoas,2003,Mediana,24.5
Alagoas,2003,75 percentil,32.4
Alagoas,2003,Máximo,76
Amapá,2003,Mínimo,2.3
Amapá,2003,25 percentil,5.2
Amapá,2003,Mediana,6.8
Amapá,2003,75 percentil,22.1
Amapá,2003,Máximo,34.6
Amazonas,2003,Mínimo,0
Amazonas,2003,25 percentil,6.525
Amazonas,2003,Mediana,13.95
Amazonas,2003,75 percentil,26.725
Amazonas,2003,Máximo,60.2
Bahia,2003,Mínimo,0
Bahia,2003,25 percentil,12.85
Bahia,2003,Mediana,22
Bahia,2003,75 percentil,31.3
Bahia,2003,Máximo,92.7
Ceará,2003,Mínimo,0
Ceará,2003,25 percentil,17.3
Ceará,2003,Mediana,31
Ceará,2003,75 percentil,42.575
Ceará,2003,Máximo,100
Distrito Federal,2003,Mínimo,49.6
Distrito Federal,2003,25 percentil,49.6
Distrito Federal,2003,Mediana,49.6
Distrito Federal,2003,75 percentil,49.6
Distrito Federal,2003,Máximo,49.6
Espírito Santo,2003,Mínimo,10.9
Espírito Santo,2003,25 percentil,40.5
Espírito Santo,2003,Mediana,53
Espírito Santo,2003,75 percentil,69.25
Espírito Santo,2003,Máximo,99.2
Goiás,2003,Mínimo,0.9
Goiás,2003,25 percentil,40.45
Goiás,2003,Mediana,57.5
Goiás,2003,75 percentil,70.65
Goiás,2003,Máximo,98.1
Maranhão,2003,Mínimo,0
Maranhão,2003,25 percentil,5.6
Maranhão,2003,Mediana,14.3
Maranhão,2003,75 percentil,25.4
Maranhão,2003,Máximo,86.7
Mato Grosso,2003,Mínimo,0
Mato Grosso,2003,25 percentil,35.35
Mato Grosso,2003,Mediana,50.6
Mato Grosso,2003,75 percentil,64.55
Mato Grosso,2003,Máximo,97.8
Mato Grosso do Sul,2003,Mínimo,3.6
Mato Grosso do Sul,2003,25 percentil,28.375
Mato Grosso do Sul,2003,Mediana,46.7
Mato Grosso do Sul,2003,75 percentil,63.675
Mato Grosso do Sul,2003,Máximo,99.3
Minas Gerais,2003,Mínimo,0.3
Minas Gerais,2003,25 percentil,31.5
Minas Gerais,2003,Mediana,48.2
Minas Gerais,2003,75 percentil,66
Minas Gerais,2003,Máximo,99.5
Paraná,2003,Mínimo,0
Paraná,2003,25 percentil,46.375
Paraná,2003,Mediana,68
Paraná,2003,75 percentil,81.575
Paraná,2003,Máximo,99.5
Paraíba,2003,Mínimo,0
Paraíba,2003,25 percentil,20.45
Paraíba,2003,Mediana,39.4
Paraíba,2003,75 percentil,54.9
Paraíba,2003,Máximo,94.8
Pará,2003,Mínimo,0
Pará,2003,25 percentil,6.325
Pará,2003,Mediana,14.2
Pará,2003,75 percentil,26.1
Pará,2003,Máximo,90.3
Pernambuco,2003,Mínimo,0
Pernambuco,2003,25 percentil,14.575
Pernambuco,2003,Mediana,28.2
Pernambuco,2003,75 percentil,43.775
Pernambuco,2003,Máximo,87.4
Piauí,2003,Mínimo,0.4
Piauí,2003,25 percentil,10.625
Piauí,2003,Mediana,18.1
Piauí,2003,75 percentil,27.3
Piauí,2003,Máximo,61.8
Rio Grande do Norte,2003,Mínimo,0
Rio Grande do Norte,2003,25 percentil,13.25
Rio Grande do Norte,2003,Mediana,22.75
Rio Grande do Norte,2003,75 percentil,40.875
Rio Grande do Norte,2003,Máximo,94.8
Rio Grande do Sul,2003,Mínimo,15.2
Rio Grande do Sul,2003,25 percentil,43.8
Rio Grande do Sul,2003,Mediana,60
Rio Grande do Sul,2003,75 percentil,73.9
Rio Grande do Sul,2003,Máximo,98.3
Rio de Janeiro,2003,Mínimo,1.4
Rio de Janeiro,2003,25 percentil,49.875
Rio de Janeiro,2003,Mediana,64.15
Rio de Janeiro,2003,75 percentil,76.45
Rio de Janeiro,2003,Máximo,100
Rondônia,2003,Mínimo,4
Rondônia,2003,25 percentil,16.2
Rondônia,2003,Mediana,27.2
Rondônia,2003,75 percentil,35.3
Rondônia,2003,Máximo,93.6
Roraima,2003,Mínimo,2.2
Roraima,2003,25 percentil,9.3
Roraima,2003,Mediana,12.4
Roraima,2003,75 percentil,19.9
Roraima,2003,Máximo,34.2
Santa Catarina,2003,Mínimo,7.1
Santa Catarina,2003,25 percentil,41.025
Santa Catarina,2003,Mediana,54.65
Santa Catarina,2003,75 percentil,72.2
Santa Catarina,2003,Máximo,94.3
Sergipe,2003,Mínimo,0
Sergipe,2003,25 percentil,5.525
Sergipe,2003,Mediana,23.65
Sergipe,2003,75 percentil,39.95
Sergipe,2003,Máximo,74.9
São Paulo,2003,Mínimo,1.6
São Paulo,2003,25 percentil,60.1
São Paulo,2003,Mediana,75.5
São Paulo,2003,75 percentil,87.25
São Paulo,2003,Máximo,100
Tocantins,2003,Mínimo,1.6
Tocantins,2003,25 percentil,17.225
Tocantins,2003,Mediana,28.45
Tocantins,2003,75 percentil,40.85
Tocantins,2003,Máximo,99
Acre,2004,Mínimo,0
Acre,2004,25 percentil,4.625
Acre,2004,Mediana,10.75
Acre,2004,75 percentil,18.2
Acre,2004,Máximo,32.1
Alagoas,2004,Mínimo,0
Alagoas,2004,25 percentil,15.15
Alagoas,2004,Mediana,20.9
Alagoas,2004,75 percentil,31.65
Alagoas,2004,Máximo,79.9
Amapá,2004,Mínimo,1.8
Amapá,2004,25 percentil,6.75
Amapá,2004,Mediana,9.7
Amapá,2004,75 percentil,19.95
Amapá,2004,Máximo,40.5
Amazonas,2004,Mínimo,0
Amazonas,2004,25 percentil,7.775
Amazonas,2004,Mediana,15.05
Amazonas,2004,75 percentil,22.525
Amazonas,2004,Máximo,67.5
Bahia,2004,Mínimo,0
Bahia,2004,25 percentil,14.4
Bahia,2004,Mediana,22.2
Bahia,2004,75 percentil,34.4
Bahia,2004,Máximo,94.7
Ceará,2004,Mínimo,1.6
Ceará,2004,25 percentil,20.225
Ceará,2004,Mediana,32.9
Ceará,2004,75 percentil,45
Ceará,2004,Máximo,100
Distrito Federal,2004,Mínimo,49.4
Distrito Federal,2004,25 percentil,49.4
Distrito Federal,2004,Mediana,49.4
Distrito Federal,2004,75 percentil,49.4
Distrito Federal,2004,Máximo,49.4
Espírito Santo,2004,Mínimo,9.1
Espírito Santo,2004,25 percentil,44.925
Espírito Santo,2004,Mediana,55.75
Espírito Santo,2004,75 percentil,63.8
Espírito Santo,2004,Máximo,99.3
Goiás,2004,Mínimo,4.1
Goiás,2004,25 percentil,43.1
Goiás,2004,Mediana,61.1
Goiás,2004,75 percentil,74.2
Goiás,2004,Máximo,99.4
Maranhão,2004,Mínimo,0
Maranhão,2004,25 percentil,5.6
Maranhão,2004,Mediana,14.6
Maranhão,2004,75 percentil,24.45
Maranhão,2004,Máximo,91.3
Mato Grosso,2004,Mínimo,0.2
Mato Grosso,2004,25 percentil,35.4
Mato Grosso,2004,Mediana,52.1
Mato Grosso,2004,75 percentil,67.2
Mato Grosso,2004,Máximo,94.7
Mato Grosso do Sul,2004,Mínimo,7.9
Mato Grosso do Sul,2004,25 percentil,27.1
Mato Grosso do Sul,2004,Mediana,49.5
Mato Grosso do Sul,2004,75 percentil,65.25
Mato Grosso do Sul,2004,Máximo,86.9
Minas Gerais,2004,Mínimo,0.8
Minas Gerais,2004,25 percentil,34.1
Minas Gerais,2004,Mediana,53.1
Minas Gerais,2004,75 percentil,70.925
Minas Gerais,2004,Máximo,100
Paraná,2004,Mínimo,0
Paraná,2004,25 percentil,53.5
Paraná,2004,Mediana,71
Paraná,2004,75 percentil,84.5
Paraná,2004,Máximo,99.4
Paraíba,2004,Mínimo,0
Paraíba,2004,25 percentil,22.6
Paraíba,2004,Mediana,40.85
Paraíba,2004,75 percentil,55.275
Paraíba,2004,Máximo,95.5
Pará,2004,Mínimo,0.1
Pará,2004,25 percentil,6.2
Pará,2004,Mediana,13.9
Pará,2004,75 percentil,26.1
Pará,2004,Máximo,90.4
Pernambuco,2004,Mínimo,1.8
Pernambuco,2004,25 percentil,14.9
Pernambuco,2004,Mediana,26.4
Pernambuco,2004,75 percentil,47.9
Pernambuco,2004,Máximo,88.2
Piauí,2004,Mínimo,0
Piauí,2004,25 percentil,10.5
Piauí,2004,Mediana,22.9
Piauí,2004,75 percentil,32.4
Piauí,2004,Máximo,56.5
Rio Grande do Norte,2004,Mínimo,0
Rio Grande do Norte,2004,25 percentil,14.55
Rio Grande do Norte,2004,Mediana,26.9
Rio Grande do Norte,2004,75 percentil,42.25
Rio Grande do Norte,2004,Máximo,99
Rio Grande do Sul,2004,Mínimo,21.6
Rio Grande do Sul,2004,25 percentil,47.875
Rio Grande do Sul,2004,Mediana,65.6
Rio Grande do Sul,2004,75 percentil,75.7
Rio Grande do Sul,2004,Máximo,100
Rio de Janeiro,2004,Mínimo,5.5
Rio de Janeiro,2004,25 percentil,49.8
Rio de Janeiro,2004,Mediana,63.45
Rio de Janeiro,2004,75 percentil,75.025
Rio de Janeiro,2004,Máximo,99.3
Rondônia,2004,Mínimo,5.8
Rondônia,2004,25 percentil,18.25
Rondônia,2004,Mediana,28.4
Rondônia,2004,75 percentil,37.85
Rondônia,2004,Máximo,96.4
Roraima,2004,Mínimo,5.4
Roraima,2004,25 percentil,11.4
Roraima,2004,Mediana,17.7
Roraima,2004,75 percentil,23.4
Roraima,2004,Máximo,38.3
Santa Catarina,2004,Mínimo,3.2
Santa Catarina,2004,25 percentil,45.6
Santa Catarina,2004,Mediana,62.4
Santa Catarina,2004,75 percentil,73.2
Santa Catarina,2004,Máximo,98.5
Sergipe,2004,Mínimo,0.4
Sergipe,2004,25 percentil,9.05
Sergipe,2004,Mediana,15.8
Sergipe,2004,75 percentil,32.85
Sergipe,2004,Máximo,79.9
São Paulo,2004,Mínimo,0
São Paulo,2004,25 percentil,63.925
São Paulo,2004,Mediana,77.45
São Paulo,2004,75 percentil,86.7
São Paulo,2004,Máximo,99.3
Tocantins,2004,Mínimo,1.2
Tocantins,2004,25 percentil,20.325
Tocantins,2004,Mediana,32.15
Tocantins,2004,75 percentil,49.375
Tocantins,2004,Máximo,97.4
Acre,2005,Mínimo,0
Acre,2005,25 percentil,6.575
Acre,2005,Mediana,9.75
Acre,2005,75 percentil,18.075
Acre,2005,Máximo,60.8
Alagoas,2005,Mínimo,1.6
Alagoas,2005,25 percentil,15.55
Alagoas,2005,Mediana,24.3
Alagoas,2005,75 percentil,36.45
Alagoas,2005,Máximo,87.4
Amapá,2005,Mínimo,5.9
Amapá,2005,25 percentil,14
Amapá,2005,Mediana,17.8
Amapá,2005,75 percentil,20.9
Amapá,2005,Máximo,25.6
Amazonas,2005,Mínimo,0
Amazonas,2005,25 percentil,7.975
Amazonas,2005,Mediana,16.05
Amazonas,2005,75 percentil,25.25
Amazonas,2005,Máximo,64.9
Bahia,2005,Mínimo,0.6
Bahia,2005,25 percentil,12.7
Bahia,2005,Mediana,22.3
Bahia,2005,75 percentil,33.225
Bahia,2005,Máximo,96.6
Ceará,2005,Mínimo,0.3
Ceará,2005,25 percentil,23.7
Ceará,2005,Mediana,35.7
Ceará,2005,75 percentil,47.725
Ceará,2005,Máximo,99
Distrito Federal,2005,Mínimo,51.9
Distrito Federal,2005,25 percentil,51.9
Distrito Federal,2005,Mediana,51.9
Distrito Federal,2005,75 percentil,51.9
Distrito Federal,2005,Máximo,51.9
Espírito Santo,2005,Mínimo,13.8
Espírito Santo,2005,25 percentil,41.2
Espírito Santo,2005,Mediana,55.6
Espírito Santo,2005,75 percentil,67.95
Espírito Santo,2005,Máximo,100
Goiás,2005,Mínimo,0
Goiás,2005,25 percentil,50.6
Goiás,2005,Mediana,63.05
Goiás,2005,75 percentil,77.025
Goiás,2005,Máximo,99.4
Maranhão,2005,Mínimo,0
Maranhão,2005,25 percentil,6.925
Maranhão,2005,Mediana,13.5
Maranhão,2005,75 percentil,22.45
Maranhão,2005,Máximo,92.9
Mato Grosso,2005,Mínimo,0
Mato Grosso,2005,25 percentil,40.45
Mato Grosso,2005,Mediana,55.9
Mato Grosso,2005,75 percentil,70.75
Mato Grosso,2005,Máximo,99.2
Mato Grosso do Sul,2005,Mínimo,11.2
Mato Grosso do Sul,2005,25 percentil,31.575
Mato Grosso do Sul,2005,Mediana,55.05
Mato Grosso do Sul,2005,75 percentil,66.7
Mato Grosso do Sul,2005,Máximo,96.6
