Municipio,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,Total
280380 MALHADA DOS BOIS,1,3,5,1,1,2,2,NA,4,NA,19
280390 MALHADOR,2,3,2,NA,1,3,5,6,NA,3,25
280400 MARUIM,3,3,5,12,7,2,5,1,1,1,40
280410 MOITA BONITA,1,2,1,4,NA,1,1,1,NA,NA,11
280420 MONTE ALEGRE DE SERGIPE,15,13,11,3,7,5,14,14,7,7,96
280430 MURIBECA,5,3,7,7,2,4,3,1,3,3,38
280440 NEOPOLIS,41,103,93,41,12,14,8,6,11,7,336
280445 NOSSA SENHORA APARECIDA,NA,NA,3,NA,3,1,NA,1,2,3,13
280450 NOSSA SENHORA DA GLORIA,12,19,18,9,20,16,20,16,5,7,142
280460 NOSSA SENHORA DAS DORES,12,12,9,9,12,20,5,3,6,8,96
280470 NOSSA SENHORA DE LOURDES,4,3,8,5,4,1,4,2,1,NA,32
280480 NOSSA SENHORA DO SOCORRO,71,101,119,206,133,139,96,94,111,125,1195
280490 PACATUBA,9,22,32,17,8,9,7,8,3,5,120
280500 PEDRA MOLE,NA,NA,1,NA,1,NA,2,NA,NA,NA,4
280510 PEDRINHAS,2,5,5,3,NA,2,6,7,3,NA,33
280520 PINHAO,1,NA,2,NA,1,1,2,1,NA,NA,8
280530 PIRAMBU,NA,NA,3,3,1,NA,1,1,4,6,19
280540 POCO REDONDO,21,22,15,9,12,10,13,10,14,5,131
280550 POCO VERDE,5,3,5,1,1,6,5,5,4,3,38
280560 PORTO DA FOLHA,12,10,12,14,12,11,23,27,25,21,167
280570 PROPRIA,24,19,28,48,18,28,13,12,15,6,211
280580 RIACHAO DO DANTAS,8,11,10,8,7,3,7,10,6,1,71
280590 RIACHUELO,2,5,NA,5,8,1,NA,3,2,NA,26
280600 RIBEIROPOLIS,4,1,1,1,1,2,2,1,3,NA,16
280610 ROSARIO DO CATETE,6,3,5,5,1,1,2,1,2,3,29
280620 SALGADO,8,2,4,1,3,6,6,4,4,2,40
280630 SANTA LUZIA DO ITANHY,10,11,17,13,12,15,23,10,9,5,125
280640 SANTANA DO SAO FRANCISCO,22,74,66,49,2,3,4,4,3,1,228
280650 SANTA ROSA DE LIMA,NA,1,1,3,2,NA,2,NA,NA,NA,9
280660 SANTO AMARO DAS BROTAS,1,NA,3,5,6,1,NA,4,2,1,23
280670 SAO CRISTOVAO,5,6,11,12,19,18,18,8,9,12,118
280680 SAO DOMINGOS,1,1,3,1,1,1,1,2,2,NA,13
280690 SAO FRANCISCO,NA,5,6,4,1,1,3,2,6,3,31
280700 SAO MIGUEL DO ALEIXO,2,1,2,NA,NA,1,1,1,NA,1,9
280710 SIMAO DIAS,12,13,17,6,3,6,7,12,9,2,87
280720 SIRIRI,3,9,1,6,2,6,2,2,4,3,38
280730 TELHA,2,3,1,7,3,NA,3,1,1,1,22
280740 TOBIAS BARRETO,13,10,9,11,6,8,8,16,5,3,89
280750 TOMAR DO GERU,9,4,6,11,11,15,17,17,5,7,102
280760 UMBAUBA,22,20,28,25,31,18,39,30,18,14,245
 MUNICIPIO IGNORADO NA BA,11,2,4,2,1,NA,NA,NA,1,NA,21
290010 ABAIRA,1,3,1,5,17,10,2,4,1,NA,44
290020 ABARE,13,22,1,11,34,26,2,4,2,2,117
290030 ACAJUTIBA,13,26,15,12,5,6,8,24,11,6,126
290035 ADUSTINA,12,14,10,13,10,8,16,25,18,13,139
290040 AGUA FRIA,112,105,40,10,11,2,12,20,10,14,336
290050 ERICO CARDOSO,7,10,2,2,8,3,6,3,1,3,45
290060 AIQUARA,2,9,12,7,5,8,2,7,12,16,80
290070 ALAGOINHAS,313,309,298,325,202,145,181,205,142,155,2275
290080 ALCOBACA,43,11,35,84,48,28,11,10,18,8,296
290090 ALMADINA,NA,NA,NA,1,4,1,1,2,NA,NA,9
290100 AMARGOSA,30,27,18,22,20,11,24,32,35,15,234
290110 AMELIA RODRIGUES,160,117,47,33,9,3,17,11,15,16,428
290115 AMERICA DOURADA,24,20,28,6,3,4,8,16,7,3,119
290120 ANAGE,12,38,39,40,16,24,10,4,1,3,187
290130 ANDARAI,6,11,3,2,3,3,3,7,5,2,45
290135 ANDORINHA,11,12,10,3,5,1,NA,NA,5,9,56
290140 ANGICAL,10,14,11,3,4,4,2,5,7,7,67
290150 ANGUERA,56,42,15,22,NA,NA,5,3,2,4,149
290160 ANTAS,31,17,31,18,11,15,9,15,12,5,164
290170 ANTONIO CARDOSO,120,71,18,19,2,1,11,17,6,6,271
290180 ANTONIO GONCALVES,51,43,28,3,7,1,2,2,2,1,140
290190 APORA,22,17,10,16,7,9,13,16,13,4,127
290195 APUAREMA,3,9,14,8,19,16,12,18,23,37,159
290200 ARACATU,15,11,14,13,10,15,1,1,3,3,86
290205 ARACAS,15,18,21,25,12,11,15,11,15,12,155
290210 ARACI,97,57,54,46,47,31,42,75,53,39,541
290220 ARAMARI,13,8,11,15,12,2,7,4,8,8,88
290225 ARATACA,8,2,6,6,2,4,2,2,NA,4,36
290230 ARATUIPE,11,5,15,4,4,1,2,5,6,4,57
290240 AURELINO LEAL,21,10,23,26,14,9,10,6,14,6,139
290250 BAIANOPOLIS,5,8,6,4,7,12,69,NA,17,26,154
290260 BAIXA GRANDE,24,16,52,73,17,18,28,39,18,5,290
290265 BANZAE,8,14,34,46,16,29,20,8,11,10,196
290270 BARRA,15,18,14,8,13,23,17,20,20,38,186
290280 BARRA DA ESTIVA,20,20,14,17,188,23,16,3,7,5,313
290290 BARRA DO CHOCA,38,66,87,78,49,46,14,22,9,10,419
290300 BARRA DO MENDES,12,11,5,4,1,2,2,3,2,3,45
290310 BARRA DO ROCHA,13,9,8,8,4,7,8,3,9,8,77
290320 BARREIRAS,90,99,99,96,62,46,48,27,45,52,664
290323 BARRO ALTO,3,2,6,6,8,6,3,9,10,3,56
290327 BARROCAS,23,26,14,6,4,20,32,48,29,23,225
290330 BARRO PRETO,1,1,2,5,3,1,NA,4,3,NA,20
290340 BELMONTE,119,27,5,9,2,54,2,NA,3,28,249
290350 BELO CAMPO,15,26,26,40,16,23,6,3,5,4,164
290360 BIRITINGA,23,13,13,15,19,8,32,51,39,14,227
290370 BOA NOVA,17,15,23,27,21,18,14,29,34,37,235
290380 BOA VISTA DO TUPIM,26,7,2,4,3,6,4,12,8,1,73
290390 BOM JESUS DA LAPA,62,26,32,54,40,76,45,51,59,14,459
290395 BOM JESUS DA SERRA,7,11,14,16,4,15,3,3,2,2,77
290400 BONINAL,22,11,11,16,9,3,6,8,8,1,95
290405 BONITO,11,7,3,1,3,2,6,7,6,4,50
290410 BOQUIRA,6,17,10,6,14,11,44,18,1,4,131
290420 BOTUPORA,32,26,17,2,24,15,9,6,1,2,134
290430 BREJOES,8,9,12,8,12,8,5,21,24,19,126
290440 BREJOLANDIA,12,3,3,6,NA,7,1,13,9,11,65
290450 BROTAS DE MACAUBAS,72,81,84,10,8,7,16,26,4,11,319
290460 BRUMADO,141,72,41,37,69,30,32,22,17,20,481
290470 BUERAREMA,9,2,4,9,12,5,4,6,3,4,58
290475 BURITIRAMA,4,4,6,5,2,10,7,53,42,11,144
290480 CAATIBA,14,11,6,7,9,6,4,7,3,1,68
290485 CABACEIRAS DO PARAGUACU,19,13,13,23,6,8,6,6,3,3,100
290490 CACHOEIRA,97,72,51,14,19,5,13,16,14,10,311
290500 CACULE,18,18,17,12,11,3,3,21,5,9,117
290510 CAEM,6,7,12,11,7,1,13,17,10,4,88
290515 CAETANOS,8,30,29,22,8,11,4,1,1,1,115
290520 CAETITE,32,48,95,170,248,178,162,219,162,115,1429
290530 CAFARNAUM,12,6,12,87,274,115,19,4,8,4,541
290540 CAIRU,13,9,25,23,21,15,28,31,22,16,203
290550 CALDEIRAO GRANDE,9,7,14,17,9,6,5,13,15,38,133
290560 CAMACAN,39,9,56,38,7,7,7,8,3,23,197
290570 CAMACARI,551,750,1209,1708,1369,1192,957,796,333,113,8978
290580 CAMAMU,33,38,26,44,28,30,35,34,28,20,316
290590 CAMPO ALEGRE DE LOURDES,12,19,12,16,14,7,3,7,2,1,93
290600 CAMPO FORMOSO,398,484,244,25,27,31,25,27,19,17,1297
290610 CANAPOLIS,3,3,5,6,2,3,5,3,3,6,39
290620 CANARANA,21,20,22,194,183,193,137,169,20,87,1046
290630 CANAVIEIRAS,47,13,21,14,20,16,30,14,16,10,201
290640 CANDEAL,48,35,12,23,4,1,7,7,7,4,148
290650 CANDEIAS,113,124,67,76,94,137,68,161,138,105,1083
290660 CANDIBA,45,78,56,112,3,2,15,6,2,1,320
290670 CANDIDO SALES,26,37,49,64,14,33,17,7,19,17,283
290680 CANSANCAO,27,36,28,63,44,18,8,23,17,19,283
290682 CANUDOS,19,11,12,19,17,6,19,14,6,5,128
290685 CAPELA DO ALTO ALEGRE,19,21,16,6,9,4,1,8,5,5,94
290687 CAPIM GROSSO,25,35,59,96,102,70,111,42,46,41,627
290689 CARAIBAS,3,20,28,18,3,9,3,2,NA,2,88
290690 CARAVELAS,29,11,31,46,45,30,7,11,8,7,225
290700 CARDEAL DA SILVA,21,16,13,10,17,10,8,12,5,9,121
290710 CARINHANHA,18,10,19,18,11,11,12,20,9,19,147
290720 CASA NOVA,60,40,43,40,27,22,61,60,18,32,403
290730 CASTRO ALVES,31,12,9,6,8,20,17,41,210,17,371
290740 CATOLANDIA,NA,8,6,10,1,NA,4,1,1,2,33
290750 CATU,50,53,51,62,31,34,29,65,33,16,424
290755 CATURAMA,NA,10,NA,2,6,1,2,2,NA,2,25
290760 CENTRAL,17,20,13,3,4,5,9,5,6,1,83
290770 CHORROCHO,5,19,16,16,45,7,10,8,5,3,134
290780 CICERO DANTAS,39,41,59,52,42,50,24,41,27,23,398
290790 CIPO,27,15,32,52,26,28,18,17,16,61,292
290800 COARACI,10,9,8,11,12,11,17,9,3,4,94
290810 COCOS,66,105,6,31,107,37,49,43,44,40,528
290820 CONCEICAO DA FEIRA,66,38,28,17,7,7,20,17,17,12,229
290830 CONCEICAO DO ALMEIDA,5,7,2,11,5,8,5,29,33,10,115
290840 CONCEICAO DO COITE,90,57,38,53,34,72,53,54,32,30,513
290850 CONCEICAO DO JACUIPE,216,165,57,54,11,18,36,40,25,14,636
290860 CONDE,23,33,31,52,60,45,36,46,27,20,373
290870 CONDEUBA,4,15,28,29,6,25,4,6,2,1,120
290880 CONTENDAS DO SINCORA,5,2,2,4,13,3,1,1,3,4,38
290890 CORACAO DE MARIA,173,141,54,62,9,6,22,19,14,16,516
290900 CORDEIROS,2,4,15,7,4,8,NA,NA,2,2,44
290910 CORIBE,173,143,28,19,26,13,7,2,1,3,415
290920 CORONEL JOAO SA,14,25,39,15,5,7,6,9,5,NA,125
290930 CORRENTINA,19,35,18,50,37,32,38,20,15,33,297
290940 COTEGIPE,11,5,7,12,3,1,15,46,19,20,139
290950 CRAVOLANDIA,5,7,13,7,5,2,9,9,6,15,78
290960 CRISOPOLIS,31,23,22,18,11,6,14,25,23,7,180
290970 CRISTOPOLIS,7,15,8,7,7,6,7,5,2,7,71
290980 CRUZ DAS ALMAS,68,38,26,90,21,12,24,35,17,13,344
290990 CURACA,11,20,9,20,10,6,6,40,126,119,367
291000 DARIO MEIRA,19,21,20,22,16,15,12,10,22,17,174
291005 DIAS D'AVILA,94,108,100,76,68,53,52,72,67,34,724
291010 DOM BASILIO,10,14,7,6,49,31,2,3,NA,3,125
291020 DOM MACEDO COSTA,4,1,4,NA,NA,2,2,NA,1,1,15
291030 ELISIO MEDRADO,3,5,NA,5,6,2,2,5,5,3,36
291040 ENCRUZILHADA,21,23,37,23,13,22,9,4,4,4,160
291050 ENTRE RIOS,74,90,67,60,52,36,55,66,47,29,576
291060 ESPLANADA,58,70,24,23,43,10,27,41,26,18,340
291070 EUCLIDES DA CUNHA,135,192,59,46,69,81,76,99,54,35,846
291072 EUNAPOLIS,419,226,89,98,99,92,98,86,53,85,1345
291075 FATIMA,9,9,31,8,20,13,13,12,9,4,128
291077 FEIRA DA MATA,1,10,6,7,4,9,7,8,9,9,70
291080 FEIRA DE SANTANA,5864,4512,1371,1593,153,221,800,945,548,354,16361
291085 FILADELFIA,15,8,5,3,3,3,5,3,11,6,62
291090 FIRMINO ALVES,2,8,3,2,2,NA,7,5,NA,2,31
291100 FLORESTA AZUL,3,1,2,3,NA,4,1,1,NA,NA,15
291110 FORMOSA DO RIO PRETO,3,6,7,9,10,9,9,9,28,16,106
291120 GANDU,79,23,26,14,5,8,12,16,18,18,219
291125 GAVIAO,5,8,7,4,3,1,NA,NA,2,2,32
291130 GENTIO DO OURO,10,18,15,9,11,2,5,15,3,4,92
291140 GLORIA,23,13,16,32,60,14,4,5,1,NA,168
291150 GONGOGI,11,9,3,15,2,7,3,2,1,1,54
291160 GOVERNADOR MANGABEIRA,18,8,2,13,13,4,13,16,10,10,107
291165 GUAJERU,5,1,6,7,7,3,2,3,NA,3,37
291170 GUANAMBI,53,42,55,42,72,84,63,54,46,23,534
291180 GUARATINGA,29,12,10,10,11,8,8,3,10,6,107
291185 HELIOPOLIS,10,9,23,16,17,9,13,7,12,20,136
291190 IACU,27,10,7,5,6,3,4,36,8,5,111
291200 IBIASSUCE,2,4,6,6,2,2,1,3,2,5,33
291210 IBICARAI,14,9,10,9,7,11,11,11,2,3,87
291220 IBICOARA,19,16,10,17,153,21,22,2,6,3,269
291230 IBICUI,7,2,7,5,1,4,1,NA,1,1,29
291240 IBIPEBA,1,4,2,5,1,1,6,16,2,NA,38
291250 IBIPITANGA,5,17,6,38,34,47,2,2,3,1,155
291260 IBIQUERA,1,2,3,2,1,NA,2,4,1,1,17
291270 IBIRAPITANGA,40,38,20,10,24,9,9,13,9,7,179
291280 IBIRAPUA,9,3,9,10,16,5,3,3,4,10,72
291290 IBIRATAIA,36,23,25,28,33,21,24,42,29,29,290
291300 IBITIARA,16,22,16,9,6,4,6,7,6,3,95
291310 IBITITA,17,14,6,8,13,7,16,87,25,9,202
291320 IBOTIRAMA,10,9,23,32,19,14,22,10,10,11,160
291330 ICHU,18,15,5,2,2,2,2,6,6,3,61
291340 IGAPORA,8,19,5,7,9,12,7,11,10,7,95
291345 IGRAPIUNA,22,16,11,7,12,5,3,79,75,79,309
291350 IGUAI,30,40,69,358,357,397,344,300,260,161,2316
291360 ILHEUS,387,89,27,45,285,243,440,56,158,134,1864
291370 INHAMBUPE,35,28,29,42,25,21,27,40,20,25,292
291380 IPECAETA,98,57,33,19,7,9,19,22,14,5,283
291390 IPIAU,91,79,92,81,63,45,37,37,44,48,617
291400 IPIRA,128,42,20,29,217,669,82,221,28,19,1455
291410 IPUPIARA,2,3,3,1,3,9,1,7,2,NA,31
291420 IRAJUBA,12,13,17,5,9,4,7,8,12,13,100
291430 IRAMAIA,19,15,16,13,27,25,31,15,25,42,228
291440 IRAQUARA,12,19,18,22,1,10,6,6,4,13,111
291450 IRARA,160,121,50,37,10,10,22,35,20,10,475
291460 IRECE,105,126,57,NA,5,5,25,13,10,7,353
291465 ITABELA,43,26,9,6,7,9,9,4,5,13,131
291470 ITABERABA,60,45,27,10,13,11,9,36,35,16,262
291480 ITABUNA,90,44,53,105,80,85,54,39,46,34,630
291490 ITACARE,44,20,27,27,37,34,68,17,24,20,318
291500 ITAETE,8,4,6,11,12,3,6,19,14,15,98
291510 ITAGI,13,10,31,20,18,25,17,32,35,41,242
291520 ITAGIBA,27,21,21,32,12,15,7,13,18,21,187
291530 ITAGIMIRIM,27,17,4,2,9,4,2,8,9,9,91
291535 ITAGUACU DA BAHIA,18,16,8,9,4,1,9,6,3,5,79
291540 ITAJU DO COLONIA,18,25,12,39,25,34,37,4,5,2,201
291550 ITAJUIPE,8,8,9,7,23,8,22,20,2,6,113
291560 ITAMARAJU,104,63,77,95,93,90,92,135,119,122,990
291570 ITAMARI,2,10,10,3,12,15,13,34,38,37,174
291580 ITAMBE,78,40,37,51,12,22,17,9,48,7,321
291590 ITANAGRA,12,9,12,13,6,4,4,5,6,4,75
291600 ITANHEM,10,4,10,8,5,29,20,5,1,2,94
291610 ITAPARICA,22,20,13,19,14,12,8,30,10,7,155
291620 ITAPE,4,3,1,6,7,1,1,2,NA,NA,25
291630 ITAPEBI,42,24,20,5,6,4,3,4,3,2,113
291640 ITAPETINGA,71,84,70,64,50,49,68,40,30,26,552
291650 ITAPICURU,15,16,33,24,11,11,11,51,14,26,212
291660 ITAPITANGA,4,4,7,16,5,8,2,1,NA,2,49
291670 ITAQUARA,18,16,30,26,19,13,6,15,18,20,181
291680 ITARANTIM,12,21,12,18,17,14,17,8,11,13,143
291685 ITATIM,50,26,11,14,5,6,19,55,25,17,228
291690 ITIRUCU,12,14,20,15,19,9,11,18,23,36,177
291700 ITIUBA,52,32,29,20,13,11,7,6,14,17,201
291710 ITORORO,16,26,13,10,5,24,32,25,3,11,165
291720 ITUACU,28,14,16,16,37,45,7,3,5,NA,171
291730 ITUBERA,45,49,97,63,12,6,32,14,14,13,345
291733 IUIU,67,35,49,17,1,6,1,NA,1,2,179
291735 JABORANDI,17,118,123,127,149,147,78,8,2,4,773
291740 JACARACI,5,4,NA,2,2,1,1,1,NA,2,18
291750 JACOBINA,122,160,142,130,122,120,192,229,192,88,1497
291760 JAGUAQUARA,106,105,261,290,238,46,43,42,52,46,1229
291770 JAGUARARI,42,51,60,27,3,NA,NA,3,4,4,194
291780 JAGUARIPE,11,9,20,8,9,4,5,6,5,3,80
291790 JANDAIRA,4,6,5,6,6,11,9,8,6,2,63
291800 JEQUIE,385,333,433,407,401,339,272,490,652,664,4376
291810 JEREMOABO,47,41,58,43,61,30,30,28,21,9,368
291820 JIQUIRICA,39,26,25,16,4,3,1,9,9,5,137
291830 JITAUNA,31,21,22,18,35,23,16,49,31,37,283
291835 JOAO DOURADO,31,24,27,9,3,8,10,13,10,4,139
291840 JUAZEIRO,93,45,68,154,104,21,24,73,86,65,733
291845 JUCURUCU,4,6,5,6,11,5,7,8,7,5,64
291850 JUSSARA,14,19,9,3,5,2,7,10,5,1,75
291855 JUSSARI,4,1,4,7,NA,1,1,4,2,NA,24
291860 JUSSIAPE,5,9,5,5,40,8,5,NA,NA,1,78
291870 LAFAIETE COUTINHO,2,2,8,7,6,4,1,11,14,16,71
291875 LAGOA REAL,1,4,11,16,7,3,3,4,2,4,55
291880 LAJE,26,10,16,7,11,10,5,26,19,16,146
291890 LAJEDAO,3,4,4,6,5,1,NA,3,3,3,32
291900 LAJEDINHO,1,1,1,1,NA,1,3,1,1,3,13
291905 LAJEDO DO TABOCAL,5,10,16,6,12,14,6,11,15,17,112
291910 LAMARAO,40,9,2,2,NA,3,8,21,27,12,124
291915 LAPAO,21,28,17,8,11,9,7,11,2,3,117
291920 LAURO DE FREITAS,236,198,203,287,166,322,838,964,293,181,3688
291930 LENCOIS,49,41,53,20,9,14,7,13,6,4,216
291940 LICINIO DE ALMEIDA,2,5,5,2,1,2,4,5,5,3,34
291950 LIVRAMENTO DE NOSSA SENHORA,9,17,11,16,296,148,11,10,3,3,524
291955 LUIS EDUARDO MAGALHAES,99,48,26,43,496,1951,1576,55,30,39,4363
291960 MACAJUBA,9,67,82,36,22,2,4,12,5,3,242
291970 MACARANI,11,12,21,23,11,8,15,6,3,6,116
291980 MACAUBAS,23,29,14,17,14,3,14,10,6,5,135
